token_estimate,char_count,word_count,message_count,role_counts,max_turn_chars,avg_turn_chars,pii_flag,url_flag,handle_flag,prompt_injection_flag,prompt_injection_patterns,ritual_marker_count,topic_drift_estimate,too_long_flag,llm_readability_score,pack_id,chapter_id,chapter_title,session_id,start_time_utc,end_time_utc
2650,10602,1791,20,"{'assistant': 10, 'user': 10}",1298,529,False,False,False,False,[],0,0.904,False,90,a34dceb23775,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S18,2025-04-29T15:43:41.045000Z,2025-04-29T16:12:22.660659Z
16209,64836,9844,132,"{'assistant': 67, 'user': 65}",3903,490,True,True,True,False,[],2,0.946,False,55,f91b8d61badb,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S19,2025-04-30T06:19:34.101000Z,2025-04-30T14:37:14.454749Z
3132,12530,1910,27,"{'assistant': 13, 'user': 14}",2494,463,False,False,False,False,[],0,0.927,False,90,5960e4fb223e,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S20,2025-04-30T15:37:29.999000Z,2025-04-30T16:40:43.223454Z
494,1976,283,4,"{'assistant': 2, 'user': 2}",1456,493,False,True,False,False,[],0,0.988,False,90,0cf40fca2fe8,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S21,2025-04-30T19:17:19.473000Z,2025-04-30T19:27:55.848417Z
913,3652,554,2,"{'assistant': 1, 'user': 1}",3518,1825,False,False,False,False,[],0,0.967,False,100,f0457807e338,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S22,2025-05-02T01:22:42.704000Z,2025-05-02T01:22:43.799536Z
721,2887,399,2,"{'assistant': 1, 'user': 1}",2745,1443,False,False,False,False,[],0,0.971,False,100,d92cdbb9a9c4,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S23,2025-05-23T03:12:08.170000Z,2025-05-23T03:12:10.153907Z
7470,29881,3795,10,"{'assistant': 6, 'user': 4}",24809,2987,False,False,False,False,[],0,0.926,False,90,be6373c505d0,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S24,2025-05-31T07:51:22.511000Z,2025-05-31T08:49:18.711406Z
1404,5616,670,6,"{'assistant': 4, 'user': 2}",3247,935,True,True,False,False,[],0,0.907,False,75,b25a2cc9effe,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S25,2025-06-09T17:24:33.312000Z,2025-06-09T17:38:21.104518Z
1619,6477,946,8,"{'assistant': 5, 'user': 3}",1933,808,False,False,False,False,[],3,0.95,False,100,8a5e333e4c3c,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S26,2025-06-09T18:43:50.084000Z,2025-06-09T19:05:21.645451Z
1061,4245,585,4,"{'assistant': 2, 'user': 2}",1929,1060,False,False,False,False,[],1,0.899,False,100,61661723709d,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S27,2025-06-09T20:05:29.528000Z,2025-06-09T20:11:02.107760Z
1229,4917,698,6,"{'assistant': 3, 'user': 3}",3350,818,False,False,False,False,[],0,0.948,False,100,3185b8705fc0,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S28,2025-06-10T06:50:27.647000Z,2025-06-10T07:20:20.324702Z
545,2181,277,2,"{'assistant': 1, 'user': 1}",1968,1090,False,False,False,False,[],0,0.952,False,100,305318c929d3,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S29,2025-06-10T13:14:35.605000Z,2025-06-10T13:14:39.539496Z
568,2272,325,2,"{'assistant': 1, 'user': 1}",2171,1135,False,False,False,False,[],1,0.945,False,100,e37697454f74,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S30,2025-06-10T15:14:51.136000Z,2025-06-10T15:15:02.850697Z
1012,4048,584,4,"{'assistant': 2, 'user': 2}",2356,1011,False,True,True,False,[],0,0.872,False,80,d1bb06563b47,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S31,2025-06-10T16:35:56.719000Z,2025-06-10T16:43:14.029384Z
713,2855,440,6,"{'assistant': 3, 'user': 3}",1540,475,False,False,False,False,[],1,0.918,False,100,eb518f5bbc0e,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S32,2025-06-10T18:55:27.579000Z,2025-06-10T19:40:28.543263Z
11916,47664,7237,46,"{'assistant': 27, 'user': 19}",3800,1035,False,False,False,False,[],10,0.86,False,90,f57f6669d917,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S33,2025-06-14T05:53:56.665000Z,2025-06-14T09:08:20.934937Z
2520,10082,1530,7,"{'assistant': 4, 'user': 3}",2962,1439,False,True,False,False,[],3,0.835,False,90,547180739101,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S34,2025-06-16T05:27:50.451000Z,2025-06-16T05:42:09.565183Z
857,3430,559,4,"{'assistant': 2, 'user': 2}",1846,856,False,False,False,False,[],1,0.918,False,100,5c6c6b0d9305,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S35,2025-06-17T07:05:10.620000Z,2025-06-17T07:30:43.512270Z
3914,15659,2362,29,"{'assistant': 15, 'user': 14}",2225,539,True,True,False,False,[],1,0.937,False,65,071fa8c05fcd,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S36,2025-06-17T19:37:03.610000Z,2025-06-17T21:10:01.490762Z
1120,4482,638,3,"{'assistant': 2, 'user': 1}",3987,1493,False,False,False,False,[],0,0.968,False,100,b14d464a90d7,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S37,2025-06-18T10:36:22.287000Z,2025-06-18T10:37:12.458439Z
147,590,84,2,"{'assistant': 1, 'user': 1}",438,294,False,False,False,False,[],0,1.0,False,100,06761da5a561,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S38,2025-06-19T14:07:11.644000Z,2025-06-19T14:07:29.358876Z
98,392,54,2,"{'assistant': 1, 'user': 1}",303,195,False,False,False,False,[],0,1.0,False,100,5ab39c6eec32,67ee736e-5e14-8013-8ef6-01a1e1844255,Поток,67ee736e-5e14-8013-8ef6-01a1e1844255::S39,2025-06-19T16:15:33.277000Z,2025-06-19T16:15:43.892064Z
3260,13040,1828,16,"{'assistant': 9, 'user': 7}",4667,814,False,False,False,False,[],20,0.894,False,90,cd4112d2b3f9,685785f6-3aac-8013-aa3e-1691e9836be7,Огонь(разговор) ,685785f6-3aac-8013-aa3e-1691e9836be7::S1,2025-06-22T04:26:31.468000Z,2025-06-22T05:25:26.464000Z
928,3715,601,9,"{'assistant': 5, 'user': 4}",1295,411,False,False,False,False,[],3,0.947,False,100,17f8d7f5ad14,685785f6-3aac-8013-aa3e-1691e9836be7,Огонь(разговор) ,685785f6-3aac-8013-aa3e-1691e9836be7::S2,2025-06-24T10:15:32.793000Z,2025-06-24T10:19:02.995918Z
591,2364,335,8,"{'assistant': 6, 'user': 2}",683,294,False,False,False,False,[],1,0.825,False,100,aad4bf777eaa,685785f6-3aac-8013-aa3e-1691e9836be7,Огонь(разговор) ,685785f6-3aac-8013-aa3e-1691e9836be7::S3,2025-06-28T16:42:54.983000Z,2025-06-28T17:12:14.294451Z
2323,9292,1622,19,"{'assistant': 10, 'user': 9}",1116,488,False,False,False,False,[],7,0.879,False,90,8923b08d5b5a,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S1,2025-06-22T05:48:20.341000Z,2025-06-22T06:04:26.838000Z
3903,15613,2586,20,"{'assistant': 10, 'user': 10}",2388,779,False,False,False,False,[],3,0.881,False,90,0733c76169a3,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S2,2025-06-23T11:16:04.998000Z,2025-06-23T12:31:26.051123Z
5173,20692,3281,19,"{'assistant': 10, 'user': 9}",3211,1088,False,False,False,False,[],11,0.897,False,90,fae334219c8b,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S3,2025-06-24T04:28:01.800000Z,2025-06-24T05:25:38.906858Z
2611,10447,1526,10,"{'assistant': 5, 'user': 5}",2870,1043,False,False,False,False,[],6,0.932,False,100,4a902d3d93b7,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S4,2025-06-24T09:23:55.033000Z,2025-06-24T09:45:42.976776Z
638,2552,391,2,"{'assistant': 1, 'user': 1}",2546,1275,False,False,False,False,[],1,1.0,False,100,8a1edc519ab5,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S5,2025-06-28T17:22:59.360000Z,2025-06-28T17:23:03.456416Z
1890,7561,1197,6,"{'assistant': 3, 'user': 3}",3178,1259,False,False,False,False,[],6,0.912,False,100,d63959b4f3bc,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S6,2025-06-29T04:06:29.162000Z,2025-06-29T04:10:59.181331Z
2908,11632,1744,6,"{'assistant': 3, 'user': 3}",3993,1937,False,False,False,False,[],16,0.893,False,100,c171beeaaaee,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S7,2025-06-30T04:43:47.731000Z,2025-06-30T05:01:15.041818Z
3993,15972,2432,16,"{'assistant': 8, 'user': 8}",6109,997,False,False,False,False,[],70,0.918,False,80,159e68e64c4b,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S8,2025-06-30T12:00:51.027000Z,2025-06-30T12:22:56.564323Z
6238,24953,4026,27,"{'assistant': 14, 'user': 13}",3456,923,False,False,False,False,[],91,0.912,False,90,9c13ee1f5ad5,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S9,2025-06-30T13:24:22.823711Z,2025-06-30T15:07:44.959185Z
10360,41441,6675,72,"{'assistant': 36, 'user': 36}",2588,574,False,False,False,False,[],126,0.838,False,100,b189408101bf,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S10,2025-07-01T14:08:54.937000Z,2025-07-01T15:31:54.933438Z
7938,31752,4648,34,"{'assistant': 17, 'user': 17}",4013,932,False,False,False,False,[],77,0.938,False,90,d4e884d6d767,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S11,2025-07-01T16:56:27.531000Z,2025-07-01T19:02:48.104548Z
15632,62530,9984,78,"{'assistant': 39, 'user': 39}",3060,800,False,False,False,False,[],186,0.857,False,90,5c3ab99cd29b,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S12,2025-07-02T01:44:58.080000Z,2025-07-02T05:43:30.191906Z
473,1893,288,2,"{'assistant': 1, 'user': 1}",1581,946,False,False,False,False,[],4,0.919,False,100,9028deaab219,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S13,2025-07-02T20:48:21.143000Z,2025-07-02T20:48:25.596889Z
1543,6174,1014,12,"{'assistant': 6, 'user': 6}",1387,513,False,False,False,False,[],30,0.873,False,90,6de036f194a5,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S14,2025-07-03T05:05:47.331000Z,2025-07-03T05:24:39.295000Z
1532,6131,981,6,"{'assistant': 3, 'user': 3}",3202,1021,False,False,False,False,[],12,0.921,False,100,ffce1208f19a,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S15,2025-07-03T09:05:25.907000Z,2025-07-03T09:18:44.403079Z
1157,4630,706,6,"{'assistant': 3, 'user': 3}",1665,770,False,False,False,False,[],13,0.927,False,100,2556a100ef5b,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S16,2025-07-07T16:03:12.260000Z,2025-07-07T16:16:54.558365Z
1176,4707,622,5,"{'assistant': 3, 'user': 2}",2646,940,False,True,False,False,[],12,0.975,False,90,9bdb0ae67ef7,68579923-7c34-8013-bfc4-09aad8e99cd3,Тень(личность) ,68579923-7c34-8013-bfc4-09aad8e99cd3::S17,2025-07-07T17:40:06.430000Z,2025-07-07T17:44:47.098836Z
2768,11074,1852,24,"{'assistant': 12, 'user': 12}",2348,460,False,False,False,False,[],9,0.91,False,90,67b4ff987e27,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S1,2025-06-22T06:08:08.471556Z,2025-06-22T06:52:17.669000Z
326,1307,229,2,"{'assistant': 1, 'user': 1}",1230,653,False,False,False,False,[],3,0.98,False,100,a9fc2a49e0b5,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S2,2025-06-23T11:10:53.694000Z,2025-06-23T11:10:55.137794Z
2433,9732,1570,22,"{'assistant': 11, 'user': 11}",1370,441,False,False,False,False,[],1,0.872,False,90,e134a7fcea0d,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S3,2025-06-24T09:52:37.824000Z,2025-06-24T10:13:25.315621Z
1153,4613,733,8,"{'assistant': 4, 'user': 4}",1472,575,False,False,False,False,[],0,0.952,False,100,021cfb23ea2f,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S4,2025-06-25T08:03:27.914000Z,2025-06-25T08:20:06.682332Z
1188,4752,751,6,"{'assistant': 3, 'user': 3}",2373,791,False,False,False,False,[],0,0.959,False,100,726efaaa9c37,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S5,2025-06-25T11:11:13.750000Z,2025-06-25T11:13:55.838514Z
2702,10808,1724,20,"{'assistant': 10, 'user': 10}",2072,539,False,False,False,False,[],7,0.909,False,90,adbe1a7434ad,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S6,2025-06-25T15:08:04.152000Z,2025-06-25T15:59:10.494872Z
10522,42088,5557,16,"{'assistant': 9, 'user': 7}",32902,2629,False,False,False,False,[],9,0.968,False,80,72ec30f0e208,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S7,2025-06-26T04:01:02.479000Z,2025-06-26T04:47:00.621947Z
5722,22889,3445,39,"{'assistant': 21, 'user': 18}",3582,585,False,False,False,False,[],6,0.924,False,90,78f27650f6c2,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S8,2025-06-26T12:45:08.440000Z,2025-06-26T14:44:14.573907Z
5571,22287,3179,13,"{'assistant': 8, 'user': 5}",11436,1713,False,False,False,False,[],20,0.947,False,80,f5843bc37bd8,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S9,2025-06-26T15:53:44.828000Z,2025-06-26T17:26:31.616289Z
898,3595,556,11,"{'assistant': 6, 'user': 5}",972,325,False,False,False,False,[],8,0.922,False,90,26d25474b1d8,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S10,2025-06-26T18:49:49.353000Z,2025-06-26T18:58:44.382768Z
583,2334,381,6,"{'assistant': 3, 'user': 3}",1077,388,False,False,False,False,[],1,0.928,False,100,e12814c81cab,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S11,2025-07-03T05:11:31.718000Z,2025-07-03T05:20:31.099475Z
2491,9965,1381,6,"{'assistant': 4, 'user': 2}",5326,1660,False,False,False,False,[],1,0.889,False,100,868b4fabe6ef,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S12,2025-07-06T04:51:06.856000Z,2025-07-06T04:55:46.342483Z
10372,41490,6632,64,"{'assistant': 31, 'user': 33}",2933,647,False,False,False,False,[],35,0.871,False,90,b720426880de,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S13,2025-07-06T11:15:25.848000Z,2025-07-06T13:21:48.672438Z
11245,44980,6978,63,"{'assistant': 31, 'user': 32}",3892,712,False,False,False,False,[],10,0.851,False,90,8ff3fe60dda3,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S14,2025-07-06T14:29:41.996000Z,2025-07-06T17:33:51.941000Z
9451,37807,5897,39,"{'assistant': 21, 'user': 18}",4312,968,False,False,False,False,[],22,0.837,False,100,56069ff97a42,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S15,2025-07-06T19:25:53.853145Z,2025-07-06T21:15:26.383387Z
14404,57616,9321,59,"{'assistant': 29, 'user': 30}",3081,975,False,False,False,False,[],33,0.792,False,100,a30e3d246602,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S16,2025-07-07T05:26:32.765000Z,2025-07-07T08:44:04.912373Z
5154,20617,3163,25,"{'assistant': 14, 'user': 11}",3660,823,False,False,False,False,[],35,0.915,False,90,7bda21b1a544,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S17,2025-07-07T13:56:33.598000Z,2025-07-07T16:12:14.201107Z
2237,8950,1329,11,"{'assistant': 7, 'user': 4}",2211,812,False,False,False,False,[],7,0.916,False,90,3b9bba34f717,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S18,2025-07-07T18:28:50.352000Z,2025-07-07T18:48:33.563062Z
566,2264,309,3,"{'assistant': 2, 'user': 1}",2040,754,False,False,False,False,[],0,0.952,False,100,2f161664d92b,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S19,2025-07-09T22:06:03.306000Z,2025-07-09T22:06:29.987623Z
936,3745,605,2,"{'assistant': 1, 'user': 1}",3620,1872,False,False,False,False,[],6,0.99,False,100,46e7ffb66bf4,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S20,2025-09-24T19:07:19.856000Z,2025-09-24T19:07:51.745774Z
957,3828,386,2,"{'assistant': 1, 'user': 1}",3705,1913,True,False,False,False,[],6,0.974,False,85,8e330ec10814,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S21,2025-10-20T14:41:13.639000Z,2025-10-20T14:42:47.724234Z
1970,7883,1197,5,"{'assistant': 2, 'user': 3}",6705,1575,False,False,False,False,[],3,0.954,False,90,49c4abb37c35,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S22,2025-10-20T16:48:11.382000Z,2025-10-20T17:13:54.077000Z
1,2,1,1,{'user': 1},2,2,False,False,False,False,[],0,0.0,False,100,497630f33c8c,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S23,2025-10-20T18:59:29.793000Z,2025-10-20T18:59:29.793000Z
480,1921,229,8,"{'assistant': 3, 'user': 5}",811,239,False,False,False,False,[],0,0.8,False,100,c7d251c26ab3,68579dc8-157c-8013-af17-c000f60441e8,Эхо(философия) ,68579dc8-157c-8013-af17-c000f60441e8::S24,2025-10-20T20:06:37.725000Z,2025-10-20T20:28:56.682062Z
5817,23270,3808,35,"{'assistant': 18, 'user': 17}",3489,663,False,False,False,False,[],7,0.903,False,90,1d932da22618,68594a2e-7474-8013-ae97-ac8fb654aa89,Ковка,68594a2e-7474-8013-ae97-ac8fb654aa89::S1,2025-06-23T12:35:57.891000Z,2025-06-23T13:45:33.403079Z
3283,13134,2015,12,"{'assistant': 6, 'user': 6}",4161,1093,False,False,False,False,[],8,0.876,False,90,cd2e48aa9962,68594a2e-7474-8013-ae97-ac8fb654aa89,Ковка,68594a2e-7474-8013-ae97-ac8fb654aa89::S2,2025-06-23T14:47:54.183000Z,2025-06-23T15:20:42.913557Z
1024,4099,512,2,"{'assistant': 1, 'user': 1}",3836,2049,False,False,False,False,[],1,0.979,False,100,a643eda2bc2a,68594a2e-7474-8013-ae97-ac8fb654aa89,Ковка,68594a2e-7474-8013-ae97-ac8fb654aa89::S3,2025-06-24T09:08:17.038000Z,2025-06-24T09:08:23.916629Z
